Site_Location,Size,Bath,Balcony,New_Total_Sqft,Price,area_type
Sasson Road,3 BHK,2,3,1595,82.5,Built-up  Area
Satara Road,2 BHK,2,2,1000,58.3,Super built-up  Area
Senapati Bapat Road,3 BHK,2,2,1475,64.889,Super built-up  Area
Shaniwar Peth,5 Bedroom,5,3,2400,313.5,Plot  Area
Shivaji Nagar,2 BHK,2,1,1000,31.768,Super built-up  Area
Shukrawar Peth,4 Bedroom,4,1,2360,715,Plot  Area
Sinhagad Road,3 BHK,2,3,1737,104.5,Super built-up  Area
Somwar Peth,2 BHK,2,1,1000,31.768,Super built-up  Area
Swargate,4 BHK,4,2,2100,165,Super built-up  Area
Tilak Road,8 Bedroom,6,1,3600,159.5,Built-up  Area
Uruli Devachi,2 BHK,2,1,883,55,Built-up  Area
Vadgaon Budruk,2 BHK,2,2,1243,50.6,Super built-up  Area
Wadgaon Sheri,3 BHK,2,3,1776,82.5,Super built-up  Area
Viman Nagar,3 BHK,2,1,1347,41.492,Super built-up  Area
Vishrant Wadi,3 BHK,2,2,1330,60.5,Super built-up  Area
Wagholi,2 Bedroom,2,1,600,132,Plot  Area
Wakadewadi,4 BHK,4,3,3730,407,Built-up  Area
Wanowrie,3 BHK,3,2,1459,148.5,Super built-up  Area
Warje,4 BHK,5,2,2259,148.5,Super built-up  Area
Yerawada,7 Bedroom,4,1,2700,176,Built-up  Area
Alandi Road,2 BHK,2,2,1008,35.475,Super built-up  Area
Ambegaon Budruk,2 BHK,2,2,1200,57.75,Super built-up  Area
Anandnagar,4 BHK,4,1,2328,580.8,Super built-up  Area
Aundh,7 Bedroom,7,3,600,121,Plot  Area
Aundh Road,2 BHK,1,1,660,17.05,Super built-up  Area
Balaji Nagar,3 BHK,2,2,1800,275,Super built-up  Area
Baner,4 BHK,4,3,3100,605,Super built-up  Area
Baner road,2 BHK,2,0,1405,55.638,Super built-up  Area
Bhandarkar Road,1 BHK,1,1,602,28.6,Super built-up  Area
Bhavani Peth,3 BHK,3,2,1710,110,Super built-up  Area
Bibvewadi,3 BHK,2,3,1500,90.2,Super built-up  Area
Bopodi,3 BHK,3,2,1539,66,Built-up  Area
Budhwar Peth,6 Bedroom,3,1,806,140.8,Plot  Area
Bund Garden Road,3 BHK,2,1,1100,58.3,Super built-up  Area
Camp,2 BHK,2,1,1151,53.9,Super built-up  Area
Chandan Nagar,2 BHK,2,1,920,50.6,Super built-up  Area
Dapodi,3 BHK,3,3,1350,86.13,Super built-up  Area
Deccan Gymkhana,2 BHK,2,2,1200,71.5,Super built-up  Area
Dehu Road,2 BHK,2,1,1265,85.8,Super built-up  Area
Dhankawadi,8 Bedroom,6,2,600,66,Plot  Area
Dhayari Phata,3 BHK,3,2,1700,102.85,Super built-up  Area
Dhole Patil Road,3 Bedroom,3,0,1600,82.5,Built-up  Area
Erandwane,4 Bedroom,4,1,1550,132,Built-up  Area
Fatima Nagar,3 BHK,3,3,1560,137.5,Built-up  Area
Fergusson College Road,6 Bedroom,5,3,1000,107.8,Plot  Area
Ganesh Peth,2 BHK,2,2,1243,50.6,Super built-up  Area
Ganeshkhind,4 Bedroom,4,1,1200,176,Plot  Area
Ghorpade Peth,3 BHK,3,1,1403,61.6,Super built-up  Area
Ghorpadi,2 BHK,2,1,1010,44.429,Super built-up  Area
Gokhale Nagar,3 BHK,3,1,1416,103.4,Super built-up  Area
Gultekdi,2 BHK,2,2,1628,74.8,Super built-up  Area
Guruwar peth,4 Bedroom,4,2,1660.4,232.1,Plot  Area
Hadapsar,3 BHK,3,2,1680,137.5,Super built-up  Area
Hadapsar Industrial Estate,3 BHK,3,3,1595,68.2,Super built-up  Area
Hingne Khurd,3 BHK,2,3,1507,104.5,Super built-up  Area
Jangali Maharaj Road,3 BHK,3,2,2560,316.8,Super built-up  Area
Kalyani Nagar,3 BHK,3,1,1949,146.3,Super built-up  Area
Karve Nagar,2 Bedroom,2,1,800,192.5,Plot  Area
Karve Road,2 BHK,2,1,1000,31.768,Built-up  Area
Kasba Peth,2 BHK,2,1,905,55,Super built-up  Area
Katraj,3 BHK,3,2,2480,269.5,Super built-up  Area
Khadaki,3 BHK,3,2,1495,220,Super built-up  Area
Khadki,3 BHK,3,3,1605,115.5,Super built-up  Area
Kharadi,2 BHK,2,1,1290,80.3,Built-up  Area
Kondhwa,2 BHK,2,1,1100,66,Super built-up  Area
Kondhwa Budruk,6 BHK,6,0,2100,101.2,Super built-up  Area
Kondhwa Khurd,2 BHK,2,1,995,54.78,Super built-up  Area
Koregaon Park,2 Bedroom,2,1,500,60.5,Plot  Area
Kothrud,4 BHK,4,3,3526,657.8,Super built-up  Area
Law College Road,3 BHK,2,2,1425,51.7,Super built-up  Area
Laxmi Road,3 BHK,2,2,1455,60.5,Super built-up  Area
Lulla Nagar,1 BHK,1,1,550,25.3,Super built-up  Area
Mahatma Gandhi Road,3 BHK,2,2,1385,53.328,Super built-up  Area
Mangalwar peth,4 Bedroom,4,2,7000,231,Plot  Area
Manik Bagh,5 BHK,3,0,4000,143,Super built-up  Area
Market yard,2 BHK,2,1,1060,58.3,Super built-up  Area
Model colony,3 BHK,2,2,1080,82.5,Super built-up  Area
Mukund Nagar,3 BHK,3,2,1783,137.5,Built-up  Area
Mundhawa,3 BHK,2,2,1520,99,Super built-up  Area
Nagar Road,2 BHK,2,1,1060,60.5,Super built-up  Area
Nana Peth,2 BHK,2,1,1267,59.785,Super built-up  Area
Narayan Peth,2 BHK,2,2,1155,60.5,Super built-up  Area
Narayangaon,3 Bedroom,3,2,2500,198,Built-up  Area
Navi Peth,2 BHK,2,1,1240,71.5,Super built-up  Area
Padmavati,3 BHK,3,2,1570,85.8,Super built-up  Area
Parvati Darshan,2 BHK,2,1,1019,50.49,Super built-up  Area
Pashan,2 BHK,3,3,1355,83.6,Super built-up  Area
Paud Road,3 BHK,3,2,1537,121,Super built-up  Area
Pirangut,4 BHK,5,3,4075,248.6,Super built-up  Area
Prabhat Road,3 BHK,3,3,1550,57.695,Super built-up  Area
Pune Railway Station,2 BHK,2,1,1100,55,Built-up  Area
Rasta Peth,3 BHK,3,2,1750,165,Super built-up  Area
Raviwar Peth,2 BHK,2,2,1466,78.1,Super built-up  Area
Sadashiv Peth,3 BHK,3,2,1550,79.75,Super built-up  Area
Sahakar Nagar,3 BHK,4,3,2300,112.2,Super built-up  Area
Salunke Vihar,1 BHK,1,1,540,24.75,Super built-up  Area
Sasson Road,3 Bedroom,3,2,950,143,Plot  Area
Satara Road,7 Bedroom,7,1,2800,275,Built-up  Area
Senapati Bapat Road,2 BHK,2,3,1020,52.8,Super built-up  Area
Shaniwar Peth,3 BHK,3,2,2880,551.1,Super built-up  Area
Shivaji Nagar,3 BHK,4,2,1987,181.5,Super built-up  Area
Shukrawar Peth,2 BHK,2,1,1305,82.5,Super built-up  Area
Sinhagad Road,4 Bedroom,3,1,2100,137.5,Built-up  Area
Somwar Peth,2 BHK,2,1,1125,35.75,Built-up  Area
Swargate,2 BHK,2,2,1225,54.45,Super built-up  Area
Tilak Road,2 BHK,2,1,1255,61.05,Super built-up  Area
Uruli Devachi,2 BHK,2,1,1191,99,Super built-up  Area
Vadgaon Budruk,6 Bedroom,6,2,3600,333.3,Plot  Area
Wadgaon Sheri,2 BHK,2,1,1165,37.004,Built-up  Area
Viman Nagar,2 BHK,2,1,865,38.621,Super built-up  Area
Vishrant Wadi,3 BHK,2,2,1850,96.8,Super built-up  Area
Wagholi,2 BHK,1,1,497,18.7,Super built-up  Area
Wakadewadi,2 BHK,2,2,1232,97.9,Super built-up  Area
Wanowrie,3 BHK,3,3,1732,94.303,Super built-up  Area
Warje,3 BHK,2,1,1614,110,Super built-up  Area
Yerawada,2 BHK,1,1,600,24.2,Built-up  Area
Alandi Road,3 BHK,4,2,2072,170.5,Super built-up  Area
Ambegaon Budruk,2 BHK,2,2,919,37.4,Super built-up  Area
Anandnagar,4 Bedroom,4,1,2100,99,Built-up  Area
Aundh,4 BHK,3,1,672,59.4,Built-up  Area
Aundh Road,8 BHK,6,3,800,121,Built-up  Area
Balaji Nagar,3 Bedroom,3,1,1200,165,Plot  Area
Baner,4 BHK,5,2,2849,275,Super built-up  Area
Baner road,2 BHK,2,2,1000,46.2,Built-up  Area
Bhandarkar Road,2 BHK,2,1,1216,82.5,Super built-up  Area
Bhavani Peth,4 BHK,4,2,2245,169.4,Super built-up  Area
Bibvewadi,3 BHK,3,1,1476,137.5,Super built-up  Area
Bopodi,3 BHK,3,2,1852,143,Super built-up  Area
Budhwar Peth,2 BHK,2,2,1225,51.7,Super built-up  Area
Bund Garden Road,3 BHK,3,1,1597,73.832,Super built-up  Area
Camp,3 BHK,4,3,2423,176,Super built-up  Area
Chandan Nagar,2 BHK,2,1,1152,99,Super built-up  Area
Dapodi,3 BHK,3,2,1762,146.3,Super built-up  Area
Deccan Gymkhana,3 Bedroom,3,2,1400,101.2,Plot  Area
Dehu Road,3 BHK,2,2,1530,81.84,Super built-up  Area
Dhankawadi,6 Bedroom,6,3,2400,440,Plot  Area
Dhayari Phata,2 BHK,2,2,1185,44.187,Super built-up  Area
Dhole Patil Road,3 BHK,3,2,1890,118.8,Super built-up  Area
Erandwane,3 BHK,2,2,1247,63.8,Super built-up  Area
Fatima Nagar,8 Bedroom,4,2,700,114.4,Plot  Area
Fergusson College Road,6 Bedroom,6,3,1000,302.5,Plot  Area
Ganesh Peth,2 BHK,2,2,1201,65.989,Super built-up  Area
Ganeshkhind,2 BHK,2,2,830,44,Built-up  Area
Ghorpade Peth,2 BHK,2,1,1165,33.319,Built-up  Area
Ghorpadi,2 BHK,1,2,1100,60.5,Super built-up  Area
Gokhale Nagar,3 BHK,2,2,1890,102.3,Built-up  Area
Gultekdi,3 BHK,3,2,1685,66,Super built-up  Area
Guruwar peth,4 BHK,4,3,3131,383.9,Super built-up  Area
Hadapsar,2 BHK,2,1,1165,47.3,Super built-up  Area
Hadapsar Industrial Estate,2 BHK,2,1,827,49.5,Super built-up  Area
Hingne Khurd,3 Bedroom,2,0,396,52.8,Plot  Area
Jangali Maharaj Road,4 Bedroom,4,3,1200,196.9,Plot  Area
Kalyani Nagar,1 BHK,1,0,635,28.6,Built-up  Area
Karve Nagar,4 Bedroom,4,3,4000,418,Built-up  Area
Karve Road,2 BHK,2,1,1050,55,Super built-up  Area
Kasba Peth,5 Bedroom,4,3,600,83.6,Built-up  Area
Katraj,3 BHK,3,2,1819.18,184.8,Super built-up  Area
Khadaki,3 Bedroom,3,3,1500,137.5,Plot  Area
Khadki,3 BHK,2,2,1500,62.7,Super built-up  Area
Kharadi,3 BHK,4,3,2850,517,Super built-up  Area
Kondhwa,3 BHK,3,3,1751,79.2,Super built-up  Area
Kondhwa Budruk,4 BHK,6,1,4750,1212.2,Super built-up  Area
Kondhwa Khurd,2 BHK,2,1,1020,44.979,Super built-up  Area
Koregaon Park,2 BHK,2,1,1148,47.85,Super built-up  Area
Kothrud,3 BHK,3,2,1856,148.5,Super built-up  Area
Law College Road,6 Bedroom,6,2,1754,715,Plot  Area
Laxmi Road,3 Bedroom,3,2,4273,1210,Plot  Area
Lulla Nagar,2 BHK,2,1,1060,54.197,Super built-up  Area
Mahatma Gandhi Road,2 BHK,2,2,1300,66,Built-up  Area
Mangalwar peth,4 Bedroom,4,0,3000,110,Built-up  Area
Manik Bagh,2 BHK,2,2,1325,71.5,Super built-up  Area
Market yard,2 BHK,2,2,1261,67.1,Super built-up  Area
Model colony,2 BHK,2,2,1100,50.6,Super built-up  Area
Mukund Nagar,2 BHK,2,1,700,36.3,Built-up  Area
Mundhawa,3 BHK,2,2,1675,148.5,Super built-up  Area
Nagar Road,4 Bedroom,4,2,3400,209,Plot  Area
Nana Peth,4 BHK,5,3,3260,426.8,Super built-up  Area
Narayan Peth,2 BHK,2,2,1180,61.6,Super built-up  Area
Narayangaon,2 BHK,2,2,1160,49.5,Built-up  Area
Navi Peth,4 BHK,3,2,1863,115.5,Super built-up  Area
Padmavati,3 BHK,3,2,1914,163.9,Super built-up  Area
Parvati Darshan,3 BHK,3,2,1458,86.9,Super built-up  Area
Pashan,5 Bedroom,4,2,1200,126.5,Plot  Area
Paud Road,2 BHK,2,1,1105,44,Built-up  Area
Pirangut,3 BHK,5,3,3035,242,Super built-up  Area
Prabhat Road,6 Bedroom,6,3,1200,176,Plot  Area
Pune Railway Station,3 BHK,3,2,1662,99,Super built-up  Area
Rasta Peth,3 BHK,3,2,1556,94.6,Super built-up  Area
Raviwar Peth,2 BHK,2,2,918,55,Super built-up  Area
Sadashiv Peth,3 BHK,2,1,1455,107.8,Super built-up  Area
Sahakar Nagar,2 BHK,2,1,1205,77,Super built-up  Area
Salunke Vihar,2 BHK,2,1,1194,71.5,Super built-up  Area
Sasson Road,2 Bedroom,2,0,1200,82.5,Plot  Area
Satara Road,3 BHK,2,2,1100,57.2,Built-up  Area
Senapati Bapat Road,3 BHK,3,2,1405,53.757,Super built-up  Area
Shaniwar Peth,2 BHK,2,1,929,61.6,Super built-up  Area
Shivaji Nagar,4 BHK,5,2,3436,375.1,Built-up  Area
Shukrawar Peth,2 BHK,2,1,1035,43.263,Super built-up  Area
Sinhagad Road,4 BHK,4,3,2100,101.2,Super built-up  Area
Somwar Peth,2 BHK,2,1,1065,44.517,Super built-up  Area
Swargate,3 BHK,3,0,1532.5,92.719,Super built-up  Area
Tilak Road,6 Bedroom,6,3,1500,165,Plot  Area
Uruli Devachi,5 Bedroom,5,2,1200,108.9,Plot  Area
Vadgaon Budruk,2 BHK,2,1,1093,36.058,Super built-up  Area
Wadgaon Sheri,2 BHK,2,2,1250,49.5,Built-up  Area
Viman Nagar,3 BHK,3,3,1680,115.5,Super built-up  Area
Vishrant Wadi,2 BHK,2,1,1146,55,Super built-up  Area
Wagholi,2 BHK,2,3,1250,63.8,Super built-up  Area
Wakadewadi,3 BHK,3,1,1451,66.484,Super built-up  Area
Wanowrie,3 BHK,2,3,1424,60.5,Super built-up  Area
Warje,3 BHK,2,3,1435,68.2,Super built-up  Area
Yerawada,1 BHK,1,0,658,29.601,Super built-up  Area
Alandi Road,3 BHK,3,2,1300,49.5,Super built-up  Area
Ambegaon Budruk,2 BHK,2,2,1242,71.5,Super built-up  Area
Anandnagar,3 BHK,3,3,1910,130.9,Super built-up  Area
Aundh,3 BHK,4,2,1610,93.5,Super built-up  Area
Aundh Road,2 BHK,2,1,1127,71.5,Super built-up  Area
Balaji Nagar,3 BHK,2,1,1075,46.2,Super built-up  Area
Baner,2 BHK,2,1,1155,56.1,Super built-up  Area
Baner road,5 Bedroom,3,1,1280,275,Plot  Area
Bhandarkar Road,3 BHK,3,1,1250,60.5,Super built-up  Area
Bhavani Peth,3 Bedroom,4,2,2200,176,Plot  Area
Bibvewadi,3 Bedroom,3,1,2400,165,Built-up  Area
Bopodi,2 BHK,2,2,876,32.45,Super built-up  Area
Budhwar Peth,3 BHK,2,2,1850,97.9,Super built-up  Area
Bund Garden Road,2 BHK,2,3,1314,91.3,Super built-up  Area
Camp,1 BHK,1,1,690,43.78,Super built-up  Area
Chandan Nagar,4 Bedroom,2,2,3550,184.25,Built-up  Area
Dapodi,2 BHK,2,3,1230,60.5,Built-up  Area
Deccan Gymkhana,2 BHK,2,1,920,40.92,Super built-up  Area
Dehu Road,3 BHK,3,3,1850,154,Built-up  Area
Dhankawadi,2 BHK,2,2,1073,66,Super built-up  Area
Dhayari Phata,3 BHK,3,3,1540,83.6,Super built-up  Area
Dhole Patil Road,3 BHK,3,3,1550,69.85,Super built-up  Area
Erandwane,2 BHK,2,1,1198,71.5,Super built-up  Area
Fatima Nagar,3 BHK,3,2,1656,99,Super built-up  Area
Fergusson College Road,3 BHK,3,3,1900,170.5,Super built-up  Area
Ganesh Peth,3 BHK,3,2,1910,156.2,Built-up  Area
Ganeshkhind,2 BHK,2,1,1003,47.3,Super built-up  Area
Ghorpade Peth,2 BHK,2,0,1276,52.8,Built-up  Area
Ghorpadi,3 BHK,2,2,1495,73.7,Super built-up  Area
Gokhale Nagar,3 BHK,3,2,2172,83.622,Super built-up  Area
Gultekdi,4 Bedroom,4,2,2400,393.8,Plot  Area
Guruwar peth,2 Bedroom,1,2,1200,104.5,Plot  Area
Hadapsar,3 BHK,3,1,1548,71.5,Super built-up  Area
Hadapsar Industrial Estate,7 Bedroom,5,2,5400,1069.2,Plot  Area
Hingne Khurd,4 BHK,5,0,2856,169.95,Super built-up  Area
Jangali Maharaj Road,3 BHK,3,1,1689,113.3,Super built-up  Area
Kalyani Nagar,2 BHK,2,1,1031,58.3,Super built-up  Area
Karve Nagar,4 BHK,4,2,2119,122.1,Super built-up  Area
Karve Road,2 Bedroom,2,2,1200,50.743,Plot  Area
Kasba Peth,2 BHK,2,2,1060,40.7,Super built-up  Area
Katraj,2 BHK,2,1,1100,67.1,Super built-up  Area
Khadaki,4 Bedroom,4,2,1350,247.5,Plot  Area
Khadki,5 Bedroom,4,1,1050,88,Plot  Area
Kharadi,3 BHK,2,1,1250,85.668,Super built-up  Area
Kondhwa,2 BHK,2,2,1100,121,Super built-up  Area
Kondhwa Budruk,2 Bedroom,2,1,1200,50.743,Plot  Area
Kondhwa Khurd,3 BHK,2,2,1420,50.6,Super built-up  Area
Koregaon Park,3 BHK,2,1,1500,85.8,Super built-up  Area
Kothrud,3 BHK,3,1,1942,170.5,Built-up  Area
Law College Road,3 BHK,3,2,1985,143,Super built-up  Area
Laxmi Road,1 BHK,1,0,950,43.89,Super built-up  Area
Lulla Nagar,3 Bedroom,4,2,1200,88,Plot  Area
Mahatma Gandhi Road,3 BHK,3,2,1752,115.5,Super built-up  Area
Mangalwar peth,4 Bedroom,3,2,1200,132,Plot  Area
Manik Bagh,5 Bedroom,5,1,1200,220,Plot  Area
Market yard,3 BHK,2,2,1480,92.4,Super built-up  Area
Model colony,3 Bedroom,4,1,600,89.1,Plot  Area
Mukund Nagar,3 BHK,3,2,1826,143,Super built-up  Area
Mundhawa,2 BHK,2,1,1035,43.263,Super built-up  Area
Nagar Road,4 Bedroom,4,2,2600,107.8,Built-up  Area
Nana Peth,3 BHK,3,2,1667,101.2,Built-up  Area
Narayan Peth,2 BHK,2,2,934,60.5,Super built-up  Area
Narayangaon,3 BHK,3,1,1276,76.274,Built-up  Area
Navi Peth,3 BHK,2,1,1620,83.6,Super built-up  Area
Padmavati,2 BHK,2,1,1070,51.7,Super built-up  Area
Parvati Darshan,5 Bedroom,5,3,3600,198,Built-up  Area
Pashan,3 BHK,2,2,1280,66,Super built-up  Area
Paud Road,2 BHK,2,2,1400,66,Super built-up  Area
Pirangut,7 Bedroom,8,2,1200,198,Plot  Area
Prabhat Road,2 BHK,2,1,1330,70.4,Built-up  Area
Pune Railway Station,2 BHK,2,1,1012,60.049,Super built-up  Area
Rasta Peth,3 BHK,2,2,1611,53.163,Super built-up  Area
Raviwar Peth,3 BHK,3,2,1405,63.8,Super built-up  Area
Sadashiv Peth,3 BHK,3,3,1515,99,Super built-up  Area
Sahakar Nagar,3 BHK,4,2,1830,165,Super built-up  Area
Salunke Vihar,3 BHK,3,0,1710,66,Built-up  Area
Sasson Road,2 BHK,2,1,935,56.65,Built-up  Area
Satara Road,3 BHK,3,2,2197,149.6,Super built-up  Area
Senapati Bapat Road,4 Bedroom,4,0,600,71.5,Plot  Area
Shaniwar Peth,3 BHK,3,2,1678,101.343,Super built-up  Area
Shivaji Nagar,3 BHK,2,0,1410,88,Built-up  Area
Shukrawar Peth,2 BHK,2,2,1125,71.5,Super built-up  Area
Sinhagad Road,3 BHK,2,1,1191,60.918,Super built-up  Area
Somwar Peth,2 BHK,2,2,1200,86.9,Super built-up  Area
Swargate,3 BHK,2,3,1525,73.7,Super built-up  Area
Tilak Road,3 BHK,3,3,1464,61.6,Super built-up  Area
Uruli Devachi,2 BHK,2,1,920,29.7,Super built-up  Area
Vadgaon Budruk,1 BHK,1,1,651,19.25,Built-up  Area
Wadgaon Sheri,2 BHK,1,2,600,27.5,Super built-up  Area
Viman Nagar,1 BHK,1,1,645,18.095,Super built-up  Area
Vishrant Wadi,2 BHK,2,2,1185,48.4,Super built-up  Area
Wagholi,2 BHK,2,1,1190,74.8,Super built-up  Area
Wakadewadi,2 Bedroom,2,0,1276,220,Plot  Area
Wanowrie,4 BHK,5,0,2856,174.35,Super built-up  Area
Warje,2 BHK,2,3,1355,80.3,Super built-up  Area
Yerawada,2 Bedroom,1,0,1200,71.5,Plot  Area
Alandi Road,4 Bedroom,4,3,7000,605,Plot  Area
Ambegaon Budruk,6 Bedroom,4,1,1200,121,Plot  Area
Anandnagar,1 BHK,2,1,500,26.4,Super built-up  Area
Aundh,3 BHK,3,3,1250,55,Super built-up  Area
Aundh Road,3 BHK,2,1,1480,63.8,Built-up  Area
Balaji Nagar,4 BHK,4,2,3300,361.9,Built-up  Area
Baner,3 BHK,2,2,1583,77.4895,Super built-up  Area
Baner road,2 BHK,2,1,1206,58.3,Super built-up  Area
Bhandarkar Road,2 BHK,2,1,1357,143,Super built-up  Area
Bhavani Peth,2 BHK,2,1,925,51.15,Built-up  Area
Bibvewadi,2 BHK,2,1,909,44.99,Super built-up  Area
Bopodi,3 Bedroom,5,2,3000,368.5,Plot  Area
Budhwar Peth,2 BHK,2,1,1100,60.5,Built-up  Area
Bund Garden Road,4 Bedroom,5,2,3000,896.5,Plot  Area
Camp,2 BHK,2,1,1100,59.4,Super built-up  Area
Chandan Nagar,2 BHK,2,1,975,71.5,Super built-up  Area
Dapodi,2 BHK,2,2,1306,48.587,Super built-up  Area
Deccan Gymkhana,4 Bedroom,4,1,1200,104.5,Plot  Area
Dehu Road,1 BHK,1,1,610,42.9,Super built-up  Area
Dhankawadi,3 BHK,2,2,1484,62.04,Super built-up  Area
Dhayari Phata,2 BHK,2,1,1125,51.7,Super built-up  Area
Dhole Patil Road,2 BHK,2,1,1447,83.567,Super built-up  Area
Erandwane,4 BHK,5,1,2882,173.8,Super built-up  Area
Fatima Nagar,4 Bedroom,4,0,750,96.8,Plot  Area
Fergusson College Road,3 BHK,3,1,2075,126.5,Super built-up  Area
Ganesh Peth,2 BHK,2,1,1250,63.8,Built-up  Area
Ganeshkhind,2 BHK,2,2,1272,56.65,Super built-up  Area
Ghorpade Peth,4 Bedroom,3,2,1050,137.5,Plot  Area
Ghorpadi,2 BHK,2,1,625,26.4,Super built-up  Area
Gokhale Nagar,1 BHK,2,2,840,55,Built-up  Area
Gultekdi,4 BHK,4,2,2502,198,Super built-up  Area
Guruwar peth,1 BHK,1,1,583,29.59,Super built-up  Area
Hadapsar,2 BHK,2,1,900,29.7,Super built-up  Area
Hadapsar Industrial Estate,2 BHK,2,2,1115,55,Super built-up  Area
Hingne Khurd,2 BHK,2,2,1464,61.6,Super built-up  Area
Jangali Maharaj Road,3 Bedroom,3,1,2200,133.1,Built-up  Area
Kalyani Nagar,1 BHK,1,1,750,56.1,Super built-up  Area
Karve Nagar,3 BHK,3,3,1600,63.8,Super built-up  Area
Karve Road,3 BHK,2,2,1365,53.9,Super built-up  Area
Kasba Peth,3 BHK,3,2,1300,70.4,Built-up  Area
Katraj,1 Bedroom,1,0,1200,75.9,Built-up  Area
Khadaki,2 BHK,2,2,1260,38.5,Super built-up  Area
Khadki,2 BHK,2,2,1190,37.312,Super built-up  Area
Kharadi,3 BHK,4,1,2480,286,Super built-up  Area
Kondhwa,3 BHK,3,2,1250,41.8,Super built-up  Area
Kondhwa Budruk,3 BHK,3,0,1500,82.5,Built-up  Area
Kondhwa Khurd,3 BHK,3,3,1510,52.327,Super built-up  Area
Koregaon Park,2 BHK,2,1,1187,64.9,Super built-up  Area
Kothrud,2 BHK,2,1,1120,59.136,Super built-up  Area
Law College Road,2 BHK,2,0,1115,38.0105,Super built-up  Area
Laxmi Road,3 BHK,3,3,1717,108.9,Super built-up  Area
Lulla Nagar,3 BHK,3,2,2099,104.5,Built-up  Area
Mahatma Gandhi Road,2 BHK,2,2,1100,63.8,Super built-up  Area
Mangalwar peth,1 Bedroom,1,0,1200,52.8,Plot  Area
Manik Bagh,3 BHK,2,1,1465,50.457,Built-up  Area
Market yard,1 Bedroom,1,0,1500,82.5,Plot  Area
Model colony,5 Bedroom,4,1,4050,660,Plot  Area
Mukund Nagar,3 BHK,2,1,1255,99,Super built-up  Area
Mundhawa,2 BHK,2,3,1220,96.8,Super built-up  Area
Nagar Road,2 BHK,2,1,1065,33.968,Built-up  Area
Nana Peth,3 BHK,3,3,1765,88,Built-up  Area
Narayan Peth,2 BHK,2,2,1281,95.7,Super built-up  Area
Narayangaon,2 BHK,2,2,1210,27.5,Super built-up  Area
Navi Peth,2 BHK,2,3,1215,47.3,Carpet  Area
Padmavati,4 Bedroom,3,1,1200,95.7,Plot  Area
Parvati Darshan,2 BHK,2,2,1237,80.3,Super built-up  Area
Pashan,2 BHK,2,1,1300,77,Super built-up  Area
Paud Road,2 BHK,2,2,1105,43.989,Super built-up  Area
Pirangut,3 BHK,2,2,1505,46.2,Super built-up  Area
Prabhat Road,4 BHK,5,2,3900,341,Super built-up  Area
Pune Railway Station,2 BHK,2,3,1186,71.5,Built-up  Area
Rasta Peth,4 Bedroom,3,1,900,56.1,Plot  Area
Raviwar Peth,2 BHK,2,1,750,39.05,Super built-up  Area
Sadashiv Peth,2 BHK,2,2,1083,30.8,Built-up  Area
Sahakar Nagar,3 BHK,2,1,1430,86.515,Built-up  Area
Salunke Vihar,2 BHK,2,2,1056,74.8,Super built-up  Area
Sasson Road,3 BHK,3,3,2108,93.5,Super built-up  Area
Satara Road,3 BHK,3,2,1650,111.1,Super built-up  Area
Senapati Bapat Road,3 BHK,3,1,1220,40.26,Built-up  Area
Shaniwar Peth,2 BHK,2,1,1198,59.4,Super built-up  Area
Shivaji Nagar,2 BHK,2,1,1190,77,Super built-up  Area
Shukrawar Peth,2 BHK,2,1,900,45.1,Built-up  Area
Sinhagad Road,4 BHK,4,2,2690,203.5,Super built-up  Area
Somwar Peth,2 BHK,2,2,1340,71.5,Built-up  Area
Swargate,4 Bedroom,3,2,2940,2475,Plot  Area
Tilak Road,6 Bedroom,6,1,2400,440,Plot  Area
Vadgaon Budruk,2 BHK,2,2,1260,65.12,Super built-up  Area
Wadgaon Sheri,3 BHK,3,2,2254,168.3,Super built-up  Area
Viman Nagar,3 BHK,5,1,2990,231,Super built-up  Area
Vishrant Wadi,4 Bedroom,5,1,1800,275,Built-up  Area
Wagholi,2 BHK,2,1,820,49.5,Built-up  Area
Wakadewadi,2 BHK,2,2,1296,71.5,Super built-up  Area
Wanowrie,2 BHK,2,1,1190,58.905,Super built-up  Area
Warje,2 BHK,2,1,1173,84.7,Super built-up  Area
Yerawada,3 Bedroom,3,2,1800,99,Plot  Area
Alandi Road,2 BHK,2,0,1102,57.2,Built-up  Area
Ambegaon Budruk,2 BHK,2,1,913,39.6,Super built-up  Area
Anandnagar,3 BHK,2,1,1176,38.797,Super built-up  Area
Aundh,3 BHK,3,2,1620,71.5,Built-up  Area
Aundh Road,3 BHK,3,2,2968,247.5,Super built-up  Area
Balaji Nagar,2 BHK,2,3,1519,71.5,Super built-up  Area
Baner,2 BHK,2,2,1345,116.6,Super built-up  Area
Baner road,3 BHK,3,2,1594,108.9,Super built-up  Area
Bhandarkar Road,2 BHK,2,1,1250,74.8,Super built-up  Area
Bhavani Peth,2 BHK,2,1,1056,66,Super built-up  Area
Bibvewadi,3 Bedroom,3,1,1200,75.24,Plot  Area
Bopodi,2 Bedroom,1,0,1290,85.25,Plot  Area
Budhwar Peth,2 BHK,2,1,1150,52.8,Built-up  Area
Bund Garden Road,2 BHK,2,1,1464,159.5,Super built-up  Area
Camp,4 Bedroom,2,1,1200,39.6,Plot  Area
Chandan Nagar,2 BHK,2,0,861,40.15,Built-up  Area
